,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
3444,юр. лицо,списание средств,3939.23,наличный,Гомель,МаксБанк-KOZQ-679,27-08-2005,11:14:18,успешно,да,328.33
3448,физ. лицо,списание средств,3087.77,наличный,Гродно,МаксБанк-QENI-883,26-10-2023,10:17:32,успешно,да,55.61
3452,физ. лицо,списание средств,4718.6,наличный,Могилев,БелАгропромбанк-NOOY-713,10-09-2002,19:22:35,успешно,да,283.54
3459,юр. лицо,списание средств,4914.41,безналичный,Витебск,Беларусбанк-QFWZ-944,29-10-2024,12:46:19,успешно,да,444.56
3461,физ. лицо,списание средств,58.89,наличный,Гродно,Беларусбанк-SNSZ-022,04-10-2010,12:18:06,успешно,да,3.12
3471,физ. лицо,списание средств,291.38,наличный,Гомель,БелАгропромбанк-XSBY-653,22-07-2001,12:00:21,неправильный ввод пин-кода,да,6.8
3477,юр. лицо,списание средств,3195.36,безналичный,Гродно,Приорбанк-NZWJ-626,26-03-2014,21:03:25,неправильный ввод пин-кода,да,223.73
3484,юр. лицо,списание средств,2461.7,безналичный,Гомель,Белинвестбанк-XTWD-804,05-06-2000,11:08:59,успешно,да,201.71
3500,физ. лицо,списание средств,2206.21,наличный,Могилев,МаксБанк-ODJN-683,31-01-2006,17:09:44,неправильный ввод пин-кода,да,77.68
3510,юр. лицо,списание средств,3775.47,безналичный,Минск,МаксБанк-GPYJ-527,05-07-2001,11:11:15,успешно,да,193.14
3511,юр. лицо,списание средств,4939.52,безналичный,Брест,Беларусбанк-UPUG-906,19-03-2000,02:59:23,неправильный ввод пин-кода,да,428.31
3514,физ. лицо,списание средств,1565.68,безналичный,Минск,БелАгропромбанк-DKBV-027,02-05-2018,02:59:55,неправильный ввод пин-кода,да,111.38
3520,юр. лицо,списание средств,4646.65,наличный,Гомель,Беларусбанк-QHAP-427,11-06-2016,16:58:37,успешно,да,367.53
3523,юр. лицо,списание средств,1417.75,безналичный,Минск,БелАгропромбанк-HXOM-393,23-11-2000,01:48:36,неправильный ввод пин-кода,да,50.98
3525,юр. лицо,списание средств,4871.03,безналичный,Гомель,Приорбанк-LVFD-125,31-01-2024,10:04:21,успешно,да,62.43
3529,физ. лицо,списание средств,3907.68,наличный,Минск,БелАгропромбанк-BOLS-398,02-03-2006,23:35:56,неправильный ввод пин-кода,да,97.96
3536,юр. лицо,списание средств,1049.73,безналичный,Могилев,БелАгропромбанк-FMAX-279,12-08-2006,16:58:54,недостаточно средств,да,50.2
3547,юр. лицо,списание средств,1175.3,безналичный,Витебск,Беларусбанк-QLKN-429,05-11-2010,19:47:25,неправильный ввод пин-кода,да,66.77
3561,физ. лицо,списание средств,1694.58,безналичный,Минск,Беларусбанк-PSMF-835,21-01-2022,06:20:45,недостаточно средств,да,148.82
3570,юр. лицо,списание средств,3090.43,наличный,Витебск,Беларусбанк-IXPY-175,18-05-2001,15:11:06,недостаточно средств,да,73.68
3576,физ. лицо,списание средств,785.92,наличный,Могилев,Белинвестбанк-WBZH-029,19-07-2011,19:54:47,недостаточно средств,да,12.36
3578,юр. лицо,списание средств,255.64,наличный,Минск,Белинвестбанк-JNYS-669,01-05-2013,09:55:49,недостаточно средств,да,4.36
3592,физ. лицо,списание средств,4387.26,наличный,Гродно,БелАгропромбанк-TXXF-586,30-06-2011,00:14:56,успешно,да,198.61
3594,физ. лицо,списание средств,3267.54,безналичный,Минск,Беларусбанк-XJVT-677,24-10-2011,10:15:14,недостаточно средств,да,191.72
3598,физ. лицо,списание средств,4946.4,наличный,Могилев,Белинвестбанк-GLTA-603,07-07-2002,11:30:56,успешно,да,300.47
3606,юр. лицо,списание средств,267.48,безналичный,Могилев,БелАгропромбанк-TEWT-661,02-09-2011,07:51:40,неправильный ввод пин-кода,да,19.52
3615,физ. лицо,списание средств,4644.52,безналичный,Гродно,Приорбанк-MCAO-038,02-03-2017,21:30:07,недостаточно средств,да,282.72
3617,физ. лицо,списание средств,1820.48,наличный,Могилев,Приорбанк-ZXGQ-061,12-10-2011,11:43:47,недостаточно средств,да,154.55
3618,физ. лицо,списание средств,3840.9,наличный,Витебск,БелАгропромбанк-ZUXB-746,29-01-2020,02:02:29,недостаточно средств,да,174.99
3619,физ. лицо,списание средств,3398.53,безналичный,Гомель,БелАгропромбанк-DOYK-028,29-12-2014,06:00:49,недостаточно средств,да,283.68
3622,юр. лицо,списание средств,1440.15,безналичный,Витебск,Приорбанк-PAYD-704,19-04-2023,11:39:31,неправильный ввод пин-кода,да,24.66
3626,физ. лицо,списание средств,4823.78,наличный,Брест,Белинвестбанк-BHGJ-186,23-02-2017,06:07:26,недостаточно средств,да,170.74
3631,физ. лицо,списание средств,2443.69,наличный,Гродно,Белинвестбанк-JLLU-451,06-11-2006,09:35:05,недостаточно средств,да,84.18
3635,юр. лицо,списание средств,1837.82,наличный,Гродно,Белинвестбанк-OFZK-502,26-05-2001,07:25:45,успешно,да,69.33
3638,физ. лицо,списание средств,3826.89,наличный,Гродно,БелАгропромбанк-JSZG-977,27-06-2010,23:12:06,неправильный ввод пин-кода,да,76.72
3644,юр. лицо,списание средств,3503.66,безналичный,Гродно,Приорбанк-YUJY-861,06-11-2005,22:53:24,неправильный ввод пин-кода,да,87.8
3649,физ. лицо,списание средств,4806.46,наличный,Брест,Приорбанк-QCVF-097,25-06-2012,12:27:09,неправильный ввод пин-кода,да,477.06
3650,юр. лицо,списание средств,3857.39,наличный,Минск,Приорбанк-BPXS-182,25-12-2009,01:12:01,недостаточно средств,да,277.4
3656,физ. лицо,списание средств,1044.63,безналичный,Минск,МаксБанк-ZCRK-679,04-05-2003,16:43:57,успешно,да,34.52
3658,юр. лицо,списание средств,3937.64,безналичный,Брест,Приорбанк-JWMO-630,04-10-2003,00:26:50,успешно,да,285.31
3659,юр. лицо,списание средств,905.11,безналичный,Витебск,Беларусбанк-JZFM-649,02-01-2009,04:55:38,недостаточно средств,да,17.69
3661,юр. лицо,списание средств,1414.23,безналичный,Брест,БелАгропромбанк-LQQV-887,07-04-2000,09:15:52,неправильный ввод пин-кода,да,97.86
3663,физ. лицо,списание средств,666.05,безналичный,Могилев,МаксБанк-JETZ-781,09-01-2024,21:20:39,неправильный ввод пин-кода,да,62.95
3666,физ. лицо,списание средств,885.37,безналичный,Гродно,Белинвестбанк-GUNT-366,17-04-2018,05:40:14,неправильный ввод пин-кода,да,25.07
3668,физ. лицо,списание средств,4238.34,наличный,Гомель,МаксБанк-XGMG-946,01-12-2014,18:48:26,неправильный ввод пин-кода,да,355.87
3670,физ. лицо,списание средств,3843.65,наличный,Брест,Беларусбанк-QQNH-932,18-10-2007,21:19:44,неправильный ввод пин-кода,да,65.34
3679,физ. лицо,списание средств,660.74,наличный,Гомель,Беларусбанк-ZBND-299,14-05-2000,07:34:31,недостаточно средств,да,20.7
3684,юр. лицо,списание средств,1286.35,наличный,Брест,Приорбанк-XWDT-508,23-03-2005,11:08:17,неправильный ввод пин-кода,да,56.21
3687,физ. лицо,списание средств,1951.46,безналичный,Гомель,МаксБанк-KNEE-152,26-04-2015,01:35:54,недостаточно средств,да,111.98
3689,юр. лицо,списание средств,4055.06,безналичный,Витебск,Белинвестбанк-LQBP-915,27-12-2023,20:53:11,недостаточно средств,да,79.52
3690,физ. лицо,списание средств,1932.7,наличный,Минск,Белинвестбанк-UCRY-639,04-01-2020,06:01:03,успешно,да,58.04
3697,физ. лицо,списание средств,1150.08,безналичный,Минск,Белинвестбанк-XAJO-194,09-11-2001,10:42:42,недостаточно средств,да,27.12
3708,юр. лицо,списание средств,3531.32,безналичный,Минск,Беларусбанк-AAQH-115,02-02-2003,04:22:51,успешно,да,181.39
3712,физ. лицо,списание средств,783.41,наличный,Гродно,МаксБанк-DKVU-379,28-10-2011,10:58:47,недостаточно средств,да,61.55
3716,юр. лицо,списание средств,4044.09,наличный,Могилев,Беларусбанк-ZIID-690,04-08-2019,04:07:08,неправильный ввод пин-кода,да,191.66
3718,юр. лицо,списание средств,4867.7,наличный,Витебск,Белинвестбанк-PKOZ-939,10-02-2012,23:40:48,успешно,да,363.83
3720,физ. лицо,списание средств,2080.82,наличный,Брест,БелАгропромбанк-LAWH-488,26-02-2019,12:35:48,успешно,да,85.87
3731,физ. лицо,списание средств,928.49,безналичный,Брест,Беларусбанк-VFRY-342,22-02-2002,13:08:00,успешно,да,53.86
3738,физ. лицо,списание средств,1067.61,безналичный,Брест,Белинвестбанк-ETOJ-598,15-12-2013,10:29:53,успешно,да,80.86
3743,юр. лицо,списание средств,3451.77,безналичный,Гродно,Белинвестбанк-GHWG-731,14-12-2013,10:05:30,недостаточно средств,да,36.77
3744,юр. лицо,списание средств,591.91,безналичный,Гродно,МаксБанк-VZAJ-898,08-06-2002,22:06:44,недостаточно средств,да,49.75
3746,физ. лицо,списание средств,4137.17,наличный,Гродно,Приорбанк-ZWAX-969,22-02-2004,18:56:11,неправильный ввод пин-кода,да,50.29
3748,юр. лицо,списание средств,3059.1,безналичный,Брест,БелАгропромбанк-RUZF-942,06-12-2002,23:35:37,успешно,да,260.86
3750,физ. лицо,списание средств,4821.95,наличный,Могилев,Беларусбанк-ZKAQ-394,19-01-2004,22:58:28,успешно,да,408.58
3755,физ. лицо,списание средств,4607.6,наличный,Гомель,Беларусбанк-PCUM-894,07-03-2006,18:00:12,недостаточно средств,да,138.49
3759,юр. лицо,списание средств,1220.68,безналичный,Гомель,Белинвестбанк-VHMN-696,18-02-2013,17:46:56,неправильный ввод пин-кода,да,85.18
3764,юр. лицо,списание средств,471.45,наличный,Минск,МаксБанк-BBZA-898,16-10-2004,00:23:51,успешно,да,43.29
3768,юр. лицо,списание средств,2976.01,безналичный,Витебск,Беларусбанк-FNQD-032,10-07-2002,03:57:38,успешно,да,290.73
3769,юр. лицо,списание средств,530.69,наличный,Гродно,БелАгропромбанк-POAJ-720,11-07-2022,23:02:12,недостаточно средств,да,41.21
3770,юр. лицо,списание средств,3891.0,безналичный,Витебск,БелАгропромбанк-SFXI-764,18-02-2019,19:41:10,успешно,да,210.95
3771,юр. лицо,списание средств,613.71,безналичный,Гродно,Беларусбанк-DXOM-689,10-12-2024,13:11:51,успешно,да,36.37
3772,физ. лицо,списание средств,583.99,безналичный,Могилев,Приорбанк-YCBB-318,16-01-2020,14:55:07,успешно,да,13.66
3779,физ. лицо,списание средств,2360.45,наличный,Гродно,МаксБанк-UQAQ-477,17-07-2010,09:30:27,неправильный ввод пин-кода,да,125.65
3788,юр. лицо,списание средств,2146.73,безналичный,Могилев,Приорбанк-CCYE-691,19-07-2010,12:05:54,недостаточно средств,да,32.73
3793,физ. лицо,списание средств,731.61,наличный,Могилев,Белинвестбанк-IMLX-606,01-04-2014,09:14:49,неправильный ввод пин-кода,да,66.66
3801,физ. лицо,списание средств,3348.79,наличный,Гомель,БелАгропромбанк-EEZA-100,23-05-2009,08:13:22,недостаточно средств,да,334.57
3802,физ. лицо,списание средств,740.61,наличный,Гомель,Белинвестбанк-CAMW-123,10-12-2002,04:29:20,недостаточно средств,да,48.22
3803,юр. лицо,списание средств,500.99,безналичный,Гомель,МаксБанк-RSYD-507,21-09-2010,17:10:20,недостаточно средств,да,25.84
3806,физ. лицо,списание средств,2602.8,безналичный,Минск,БелАгропромбанк-AUTP-879,17-07-2010,07:36:39,недостаточно средств,да,103.68
3809,юр. лицо,списание средств,2877.7,наличный,Могилев,Беларусбанк-PNKG-404,19-09-2008,15:20:53,успешно,да,225.8
3815,юр. лицо,списание средств,95.03,безналичный,Гомель,БелАгропромбанк-STIA-036,27-04-2014,00:50:38,недостаточно средств,да,1.09
3826,физ. лицо,списание средств,1.7,наличный,Могилев,МаксБанк-LTDN-408,28-08-2001,05:42:25,успешно,да,0.15
3827,физ. лицо,списание средств,4229.0,безналичный,Гродно,Белинвестбанк-OFRD-444,24-04-2011,15:00:46,успешно,да,317.69
3839,физ. лицо,списание средств,1715.94,наличный,Минск,Беларусбанк-YPLI-428,28-06-2019,22:34:57,неправильный ввод пин-кода,да,30.62
3846,физ. лицо,списание средств,2752.84,наличный,Могилев,Приорбанк-MJVP-384,18-09-2012,23:30:42,неправильный ввод пин-кода,да,93.91
3850,юр. лицо,списание средств,3086.1,наличный,Минск,Белинвестбанк-JSHH-789,14-04-2012,03:53:23,успешно,да,105.25
3852,физ. лицо,списание средств,500.67,наличный,Минск,Белинвестбанк-UORO-607,21-12-2009,20:01:10,неправильный ввод пин-кода,да,19.54
3856,юр. лицо,списание средств,3348.69,наличный,Брест,БелАгропромбанк-AEZK-703,19-01-2011,23:51:00,успешно,да,282.61
3858,юр. лицо,списание средств,946.79,безналичный,Минск,Белинвестбанк-TGXE-103,22-06-2009,08:12:11,неправильный ввод пин-кода,да,54.88
3860,физ. лицо,списание средств,1911.82,наличный,Гродно,Беларусбанк-NOGA-054,13-10-2000,05:12:50,успешно,да,127.62
3861,физ. лицо,списание средств,2871.76,наличный,Гродно,Беларусбанк-ZYKV-477,02-04-2016,17:52:22,успешно,да,45.71
3863,юр. лицо,списание средств,115.15,безналичный,Минск,Приорбанк-WXQH-672,29-02-2024,23:27:50,успешно,да,4.01
3865,юр. лицо,списание средств,2146.5,безналичный,Витебск,БелАгропромбанк-MJPV-554,21-01-2019,11:32:17,недостаточно средств,да,143.74
3870,физ. лицо,списание средств,4160.7,наличный,Витебск,БелАгропромбанк-BGPY-897,22-10-2008,22:50:25,неправильный ввод пин-кода,да,415.66
3877,физ. лицо,списание средств,1837.61,наличный,Минск,МаксБанк-XQYS-634,04-11-2023,12:05:12,успешно,да,121.52
3879,физ. лицо,списание средств,4868.94,безналичный,Гродно,Приорбанк-HWAS-003,20-12-2005,07:49:10,недостаточно средств,да,409.92
3881,физ. лицо,списание средств,2390.38,наличный,Гомель,Беларусбанк-IAPN-012,21-10-2009,23:59:17,неправильный ввод пин-кода,да,86.53
3883,юр. лицо,списание средств,4805.68,безналичный,Брест,МаксБанк-XBMW-716,01-12-2012,11:05:21,успешно,да,409.04
3892,юр. лицо,списание средств,2462.59,наличный,Могилев,МаксБанк-GOED-019,12-10-2015,13:55:34,успешно,да,197.64
3894,юр. лицо,списание средств,1477.71,безналичный,Гомель,БелАгропромбанк-ONVZ-675,16-08-2004,11:48:45,неправильный ввод пин-кода,да,48.18
3896,юр. лицо,списание средств,1302.54,наличный,Брест,Белинвестбанк-YFBK-253,16-11-2008,12:03:53,недостаточно средств,да,74.98
3899,юр. лицо,списание средств,339.58,безналичный,Минск,Приорбанк-GSNY-221,23-02-2009,18:35:50,недостаточно средств,да,7.76
3910,физ. лицо,списание средств,4655.84,наличный,Гродно,МаксБанк-LYNT-379,08-11-2006,10:07:02,недостаточно средств,да,178.79
3913,юр. лицо,списание средств,2364.63,наличный,Гомель,БелАгропромбанк-ZJUO-045,09-11-2001,01:14:38,неправильный ввод пин-кода,да,171.62
3914,юр. лицо,списание средств,3928.38,безналичный,Могилев,БелАгропромбанк-EHGJ-567,11-05-2013,21:41:30,недостаточно средств,да,122.87
3916,физ. лицо,списание средств,1303.64,безналичный,Могилев,БелАгропромбанк-DTZY-497,16-12-2016,12:15:30,неправильный ввод пин-кода,да,108.21
3926,физ. лицо,списание средств,4546.58,безналичный,Брест,БелАгропромбанк-SYUZ-580,12-12-2024,16:59:05,неправильный ввод пин-кода,да,257.42
3930,юр. лицо,списание средств,3809.99,безналичный,Могилев,Белинвестбанк-GKIL-919,12-09-2014,08:42:50,неправильный ввод пин-кода,да,62.4
3933,физ. лицо,списание средств,3707.53,наличный,Витебск,Беларусбанк-LTCR-296,15-01-2014,01:12:41,недостаточно средств,да,294.43
3936,юр. лицо,списание средств,4710.69,наличный,Могилев,Беларусбанк-HVPR-825,10-05-2006,03:21:27,неправильный ввод пин-кода,да,410.6
3943,юр. лицо,списание средств,4614.67,наличный,Гродно,БелАгропромбанк-PXZF-618,20-04-2010,07:34:39,успешно,да,459.46
3944,юр. лицо,списание средств,182.34,безналичный,Гродно,БелАгропромбанк-ZIYX-517,18-01-2022,22:22:45,недостаточно средств,да,12.67
3949,юр. лицо,списание средств,2038.1,безналичный,Могилев,МаксБанк-PITZ-427,02-02-2002,01:16:23,неправильный ввод пин-кода,да,99.67
3956,физ. лицо,списание средств,774.77,безналичный,Могилев,Приорбанк-PKGA-220,08-08-2011,05:27:30,успешно,да,41.21
3961,юр. лицо,списание средств,2210.34,безналичный,Гомель,Белинвестбанк-FJMW-225,19-01-2023,09:01:57,недостаточно средств,да,106.07
3962,юр. лицо,списание средств,700.5,безналичный,Брест,Беларусбанк-HGFD-310,03-10-2001,12:20:40,неправильный ввод пин-кода,да,69.25
3964,физ. лицо,списание средств,2557.49,наличный,Гомель,БелАгропромбанк-LBEB-480,10-12-2021,10:26:04,неправильный ввод пин-кода,да,117.55
3966,физ. лицо,списание средств,1536.17,безналичный,Минск,МаксБанк-UFKP-721,28-08-2011,12:28:14,успешно,да,110.48
3970,физ. лицо,списание средств,189.11,наличный,Витебск,Приорбанк-KQSU-413,16-03-2001,23:59:14,успешно,да,2.39
3976,физ. лицо,списание средств,536.66,наличный,Гомель,Белинвестбанк-SKGC-615,12-11-2020,19:09:19,недостаточно средств,да,11.38
3982,юр. лицо,списание средств,1106.97,безналичный,Гомель,Белинвестбанк-SCKK-059,20-04-2020,20:02:11,неправильный ввод пин-кода,да,54.83
3990,юр. лицо,списание средств,4026.89,безналичный,Витебск,МаксБанк-RPVN-948,24-07-2017,16:04:39,неправильный ввод пин-кода,да,348.95
3992,юр. лицо,списание средств,1210.67,наличный,Гродно,БелАгропромбанк-JYWZ-177,29-10-2002,10:55:17,недостаточно средств,да,14.21
3993,юр. лицо,списание средств,2698.9,наличный,Гродно,МаксБанк-TOIH-983,16-07-2006,19:39:39,неправильный ввод пин-кода,да,191.55
3998,физ. лицо,списание средств,4443.21,безналичный,Витебск,Беларусбанк-QONP-509,25-03-2011,05:47:08,успешно,да,252.45
3999,физ. лицо,списание средств,3103.7,наличный,Минск,Беларусбанк-BLPU-844,27-11-2000,10:21:13,неправильный ввод пин-кода,да,83.34
4002,юр. лицо,списание средств,2936.08,безналичный,Могилев,Беларусбанк-UYWC-614,16-03-2000,20:25:17,недостаточно средств,да,282.31
4007,физ. лицо,списание средств,3394.69,наличный,Гомель,Белинвестбанк-SDDA-726,05-02-2001,15:37:41,неправильный ввод пин-кода,да,89.92
4011,юр. лицо,списание средств,1889.11,наличный,Витебск,МаксБанк-QEQJ-374,25-08-2008,11:35:45,неправильный ввод пин-кода,да,96.25
4013,физ. лицо,списание средств,1580.67,наличный,Витебск,Беларусбанк-ZDNJ-605,19-04-2019,20:45:18,недостаточно средств,да,100.41
4016,юр. лицо,списание средств,1001.79,наличный,Гродно,Белинвестбанк-DEJF-054,09-03-2020,04:03:10,недостаточно средств,да,87.73
4018,юр. лицо,списание средств,4400.2,наличный,Минск,БелАгропромбанк-HGEI-878,17-04-2000,20:05:40,успешно,да,412.71
4020,юр. лицо,списание средств,1603.59,наличный,Брест,Приорбанк-VYJM-429,19-01-2002,19:01:23,недостаточно средств,да,79.01
4021,физ. лицо,списание средств,1740.5,наличный,Могилев,Белинвестбанк-RPHK-784,03-12-2024,00:23:21,успешно,да,103.38
4027,физ. лицо,списание средств,1842.23,наличный,Могилев,МаксБанк-NNEN-275,02-01-2008,15:20:13,недостаточно средств,да,53.13
4028,юр. лицо,списание средств,4242.28,наличный,Гродно,БелАгропромбанк-JPFQ-509,16-10-2024,07:32:09,неправильный ввод пин-кода,да,218.46
4030,физ. лицо,списание средств,1018.89,наличный,Витебск,Беларусбанк-NDAN-885,21-05-2012,11:48:34,неправильный ввод пин-кода,да,13.11
4032,физ. лицо,списание средств,1946.71,безналичный,Гомель,Белинвестбанк-FKPI-762,22-05-2003,14:42:07,недостаточно средств,да,90.04
4039,физ. лицо,списание средств,2829.54,наличный,Витебск,Белинвестбанк-XGAC-015,09-01-2005,05:09:24,успешно,да,132.48
4041,физ. лицо,списание средств,3095.48,безналичный,Могилев,МаксБанк-QKDK-506,01-09-2009,07:14:22,успешно,да,94.23
4053,юр. лицо,списание средств,1148.17,безналичный,Минск,Приорбанк-URAR-758,03-07-2012,08:30:34,неправильный ввод пин-кода,да,87.22
4056,физ. лицо,списание средств,4392.82,наличный,Витебск,Беларусбанк-PGFO-430,12-08-2020,17:59:51,успешно,да,164.15
4059,физ. лицо,списание средств,768.0,наличный,Гродно,Беларусбанк-ZBXU-954,14-09-2018,02:08:40,успешно,да,73.12
4062,юр. лицо,списание средств,434.21,безналичный,Могилев,Приорбанк-CZDT-458,11-09-2008,13:56:56,неправильный ввод пин-кода,да,43.22
4064,юр. лицо,списание средств,255.51,наличный,Гродно,Белинвестбанк-WFTE-812,09-11-2016,18:18:40,неправильный ввод пин-кода,да,23.61
4071,физ. лицо,списание средств,3209.79,безналичный,Брест,Приорбанк-PBFN-094,10-05-2016,07:56:37,недостаточно средств,да,125.98
4078,юр. лицо,списание средств,1654.29,наличный,Могилев,Беларусбанк-OGZE-431,29-06-2005,08:15:04,неправильный ввод пин-кода,да,28.27
4079,физ. лицо,списание средств,177.3,наличный,Гомель,Белинвестбанк-IQXT-961,10-09-2004,16:25:07,недостаточно средств,да,16.09
4080,юр. лицо,списание средств,4013.71,наличный,Гомель,Белинвестбанк-ZHDV-859,25-08-2013,02:09:07,недостаточно средств,да,283.04
4082,физ. лицо,списание средств,3196.28,наличный,Брест,МаксБанк-NUVZ-844,28-11-2016,17:43:01,недостаточно средств,да,124.33
4091,физ. лицо,списание средств,4713.76,наличный,Гомель,Беларусбанк-VGXR-124,05-07-2000,18:36:31,недостаточно средств,да,342.58
4093,юр. лицо,списание средств,4261.15,безналичный,Витебск,Приорбанк-RDYJ-656,22-04-2019,20:23:37,недостаточно средств,да,70.58
4099,юр. лицо,списание средств,164.28,наличный,Брест,МаксБанк-SWHK-673,12-12-2010,13:04:03,неправильный ввод пин-кода,да,9.81
4106,физ. лицо,списание средств,4725.16,безналичный,Витебск,Беларусбанк-MMGH-461,10-08-2005,05:33:36,успешно,да,316.99
4108,физ. лицо,списание средств,4857.37,наличный,Гродно,Белинвестбанк-TRDV-077,06-07-2004,04:48:07,неправильный ввод пин-кода,да,460.86
4125,физ. лицо,списание средств,4106.76,безналичный,Могилев,Белинвестбанк-NRLZ-606,19-09-2003,21:47:53,недостаточно средств,да,341.06
4128,физ. лицо,списание средств,2192.21,наличный,Витебск,МаксБанк-KOVB-119,15-02-2015,13:16:36,успешно,да,61.71
4129,юр. лицо,списание средств,1922.67,наличный,Гродно,Приорбанк-JHAS-461,10-09-2006,15:24:53,успешно,да,76.85
4131,физ. лицо,списание средств,2017.7,наличный,Гродно,Белинвестбанк-HMKK-355,05-12-2008,05:27:01,недостаточно средств,да,184.45
4135,физ. лицо,списание средств,3799.26,наличный,Брест,Беларусбанк-TYDY-355,04-02-2008,02:37:38,недостаточно средств,да,153.89
4146,юр. лицо,списание средств,3732.26,безналичный,Могилев,Приорбанк-RHWE-846,05-07-2012,00:19:06,успешно,да,147.65
4147,юр. лицо,списание средств,1860.98,наличный,Витебск,Приорбанк-NFMV-700,06-08-2012,01:19:25,недостаточно средств,да,73.96
4153,физ. лицо,списание средств,1000.76,наличный,Могилев,Белинвестбанк-KFSU-682,02-02-2006,16:50:08,успешно,да,87.29
4154,юр. лицо,списание средств,1686.98,безналичный,Минск,Беларусбанк-OCOB-974,22-06-2008,20:38:54,успешно,да,37.04
4159,юр. лицо,списание средств,1307.3,наличный,Витебск,Приорбанк-SYGY-709,20-07-2008,16:24:31,неправильный ввод пин-кода,да,92.58
4168,юр. лицо,списание средств,4087.23,наличный,Минск,Беларусбанк-YRWI-145,06-05-2021,02:05:51,недостаточно средств,да,132.61
4173,юр. лицо,списание средств,4318.35,наличный,Гомель,Беларусбанк-QNRZ-506,05-02-2002,17:51:59,недостаточно средств,да,70.04
4175,юр. лицо,списание средств,2603.58,наличный,Минск,Беларусбанк-SOFV-120,18-09-2009,01:37:52,успешно,да,226.39
4180,юр. лицо,списание средств,4912.07,наличный,Витебск,Приорбанк-YTLP-173,15-11-2020,08:35:24,неправильный ввод пин-кода,да,117.57
4183,юр. лицо,списание средств,1424.57,безналичный,Витебск,МаксБанк-RXTD-800,18-05-2024,14:06:09,успешно,да,128.17
4184,физ. лицо,списание средств,696.07,безналичный,Могилев,МаксБанк-WJLW-882,14-01-2008,03:15:47,успешно,да,11.66
4185,юр. лицо,списание средств,4880.05,безналичный,Могилев,БелАгропромбанк-WDFK-031,06-04-2011,06:30:41,успешно,да,166.7
4194,физ. лицо,списание средств,137.69,безналичный,Гродно,Беларусбанк-BLCY-765,29-09-2003,05:30:15,успешно,да,2.18
4196,физ. лицо,списание средств,4651.62,наличный,Брест,Беларусбанк-CNHD-036,29-04-2024,12:08:50,неправильный ввод пин-кода,да,101.35
4199,юр. лицо,списание средств,2840.36,безналичный,Брест,Приорбанк-LOOS-414,03-07-2019,08:41:02,недостаточно средств,да,255.68
4210,физ. лицо,списание средств,2243.46,безналичный,Могилев,БелАгропромбанк-WWAO-692,23-05-2005,18:07:05,успешно,да,150.39
4219,юр. лицо,списание средств,3159.21,наличный,Могилев,Беларусбанк-FXML-035,25-05-2007,13:49:53,недостаточно средств,да,266.45
4222,юр. лицо,списание средств,57.35,наличный,Минск,Беларусбанк-KOSK-424,16-01-2024,22:46:21,успешно,да,3.22
4223,физ. лицо,списание средств,4409.54,безналичный,Гомель,Беларусбанк-VYOA-124,04-10-2002,07:50:44,неправильный ввод пин-кода,да,375.17
4225,физ. лицо,списание средств,3241.73,безналичный,Гродно,МаксБанк-YRDT-958,28-05-2015,01:11:04,неправильный ввод пин-кода,да,282.2
4227,физ. лицо,списание средств,656.34,наличный,Могилев,МаксБанк-AWWV-434,27-09-2023,02:37:49,успешно,да,61.76
4234,юр. лицо,списание средств,3898.48,безналичный,Могилев,Белинвестбанк-IYPJ-816,18-11-2019,06:27:27,успешно,да,103.04
4235,физ. лицо,списание средств,1764.43,наличный,Гродно,БелАгропромбанк-OVGI-697,26-09-2021,02:43:06,успешно,да,41.29
4236,физ. лицо,списание средств,4249.29,наличный,Гомель,МаксБанк-GIFY-961,15-04-2018,17:41:09,неправильный ввод пин-кода,да,377.87
4251,юр. лицо,списание средств,3023.59,наличный,Витебск,Белинвестбанк-ZUNC-443,27-08-2013,06:33:48,неправильный ввод пин-кода,да,118.03
4257,юр. лицо,списание средств,400.27,наличный,Гомель,БелАгропромбанк-PJCL-384,07-08-2008,02:59:36,успешно,да,18.8
4276,юр. лицо,списание средств,1726.4,наличный,Гродно,Приорбанк-UTEG-345,14-11-2006,10:37:11,неправильный ввод пин-кода,да,154.54
4278,физ. лицо,списание средств,2989.1,наличный,Витебск,БелАгропромбанк-OHXS-773,26-10-2016,18:40:13,неправильный ввод пин-кода,да,276.27
4286,физ. лицо,списание средств,4963.03,безналичный,Могилев,Белинвестбанк-CNWX-112,09-09-2018,14:33:17,недостаточно средств,да,463.41
4299,физ. лицо,списание средств,4501.41,безналичный,Гродно,БелАгропромбанк-ITMT-507,10-04-2020,06:08:28,недостаточно средств,да,54.56
4301,физ. лицо,списание средств,4428.75,наличный,Гомель,Белинвестбанк-EWRP-213,31-05-2006,10:03:19,успешно,да,89.33
4303,юр. лицо,списание средств,3529.56,наличный,Витебск,МаксБанк-YQOI-892,30-03-2007,09:44:01,неправильный ввод пин-кода,да,252.85
4306,юр. лицо,списание средств,4670.54,наличный,Могилев,Беларусбанк-QVBT-688,06-12-2005,01:00:49,неправильный ввод пин-кода,да,283.64
4307,юр. лицо,списание средств,4707.99,безналичный,Минск,Беларусбанк-OUOQ-215,05-06-2010,05:52:23,успешно,да,221.2
